AFRAMER 180Z,Freedom Writers: Race and Literary Form 001,McCarthy,African and African American Studies,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b52447a377fd71fbe37aa752f250458f9a8226e1216ef3ef8982b9ed4ebf541f64e0cc9a73959e2f27f5d69350350678&ReportType=2&regl=en-US,19.0,15.0,78.0,4.53,4.67,4.4,3.14,4.27,4.73,4.67,4.73,4.79,4.5,4.0,3.4,5.21,4.47,0.9942192137241364
AFRAMER 189X,"MEDICINE. SCIENCE, AND EMPIRE 001",Comaroff,African and African American Studies,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=dbb1e4b01bba05197bec71a2bf95cb0e468e1252c29075680dff04beec39dc4b2564e4483bfcd2cded13d5ab7955ef81&ReportType=2&regl=en-US,6.0,5.0,83.0,4.4,3.8,4.6,4.6,4.0,4.4,4.6,4.5,4.4,4.4,4.6,4.8,3.2,4.2,0.992883563041687
AFRAMER 191X,African American Lives in the Law 001,Higginbotham,African and African American Studies,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=cc6d5cbba5f7ebc90fe48aeabb7fd46b717263e5fd71b45f51c16e29e30ac94232425bdc0a01afc8a02514c90eab52a7&ReportType=2&regl=en-US,9.0,9.0,100.0,5.0,4.71,4.57,4.71,4.67,5.0,5.0,5.0,5.0,5.0,5.0,4.83,4.14,4.86,0.9253119230270386
AFRAMER 192Y,The Paradox of the Garden: Good and Evil in Paradise 001,Kincaid,African and African American Studies,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=99982e392585bc01623653c86640fda2400c6d7c1eb11cc7688b39377e1d61701974d114537d62305427833506a92faa&ReportType=2&regl=en-US,11.0,7.0,63.0,4.57,4.29,4.29,4.17,5.0,4.71,4.43,4.17,4.86,4.86,4.6,3.5,3.14,4.29,0.8204604089260101
AFRIKAAN AB,Elementary Afrikaans 001,Mugane,African and African American Studies,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=6108a1fa4200075b9ae499c2a954d37db1662c65f45cfb023e013d5022e53c3bc9ae0bf8981b49c04f3efa973343ab98&ReportType=2&regl=en-US,29.0,19.0,65.0,5.0,4.94,4.94,4.88,4.82,nan,nan,nan,nan,nan,nan,nan,3.2,4.75,0.9937775582075119
GULLAH AB,Elementary Gullah 001,Mugane,African and African American Studies,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=ece1e370ff2fcb9c89d814357234882c49cc1c3072f51802d15dc602be15d72ba3db53bbdf9954a09d9d1ae01ccd151e&ReportType=2&regl=en-US,13.0,11.0,84.0,5.0,5.0,5.0,5.0,5.0,nan,nan,nan,nan,nan,nan,nan,3.0,5.0,0.9978833794593811
HAITIAN AB,Elementary Haitian Creole 001,Mugane,African and African American Studies,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=40165b7ba52822756bbc7e84f2062adcff89581572751d45b31878f71b6b9dec38b0d346f72e389cc7a28cff6d0b898a&ReportType=2&regl=en-US,10.0,8.0,80.0,3.6,3.0,3.75,4.33,3.0,nan,nan,nan,nan,nan,nan,nan,2.25,4.4,nan
IGBO AB,Elementary Igbo 001,Mugane,African and African American Studies,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=9a62c405aa8ba2c640e43d77982f963188667c62a0291339593837847962651d460d4ef103c6af860d3b8621e2c40d4e&ReportType=2&regl=en-US,9.0,9.0,100.0,4.63,4.13,4.38,4.38,4.5,nan,nan,nan,nan,nan,nan,nan,2.71,4.88,0.5868110299110413
TWI AB,Elementary Twi 001,Akutey-Baffoe,African and African American Studies,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e9b2ce17d0443bafbeb1c8a635918374a1064764f96f4bc2a4cfdc58e3ff7124e71405c737f6f2e25f2e22e6eeb286d8&ReportType=2&regl=en-US,8.0,5.0,62.0,4.25,4.25,4.5,4.0,4.0,4.5,4.75,4.5,4.75,4.75,4.5,3.5,2.75,4.25,0.9876806735992432
WSTAFRCN AB,Elementary West African Pidgin 001,Mugane,African and African American Studies,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=1746a42e2ed6d7fe1a95f86ea56d8aaec1b591afc74b0e0b599db61c6fe1322a76340b57f543ccc21804c6193cc8484d&ReportType=2&regl=en-US,27.0,20.0,74.0,4.5,4.14,4.23,4.15,4.29,nan,nan,nan,nan,nan,nan,nan,1.91,4.71,0.8183314402898153
